  2.17   2.17   2.17   2.17   2.17   2.17   2.17   2.17   2.17   2.17 
  1.48   1.48   1.48   1.48   1.48   1.48   1.48   1.48   1.48   1.48 
  1.48   1.48   1.48   1.48   1.48   1.48   1.48   1.48   1.48   1.48 
  1.28   1.28   1.28   1.28   1.28   1.28   1.28   1.28   1.28   1.28 
  1.19   1.19   1.19   1.19   1.19   1.19   1.19   1.19   1.19   1.19 
  1.38   1.38   1.38   1.38   1.38   1.38   1.38   1.38   1.38   1.38 
  1.78   1.78   1.78   1.78   1.78   1.78   1.78   1.78   1.78   1.78 
  3.36   3.36   3.36   3.36   3.36   3.36   3.36   3.36   3.36   3.36 
  4.35   4.35   4.35   4.35   4.35   4.35   4.35   4.35   4.35   4.35 
  4.64   4.64   4.64   4.64   4.64   4.64   4.64   4.64   4.64   4.64 
  4.94   4.94   4.94   4.94   4.94   4.94   4.94   4.94   4.94   4.94 
  5.24   5.24   5.24   5.24   5.24   5.24   5.24   5.24   5.24   5.24 
  5.53   5.53   5.53   5.53   5.53   5.53   5.53   5.53   5.53   5.53 
  5.73   5.73   5.73   5.73   5.73   5.73   5.73   5.73   5.73   5.73 
  5.34   5.34   5.34   5.34   5.34   5.34   5.34   5.34   5.34   5.34 
  4.94   4.94   4.94   4.94   4.94   4.94   4.94   4.94   4.94   4.94 
  4.74   4.74   4.74   4.74   4.74   4.74   4.74   4.74   4.74   4.74 
  4.45   4.45   4.45   4.45   4.45   4.45   4.45   4.45   4.45   4.45 
  4.05   4.05   4.05   4.05   4.05   4.05   4.05   4.05   4.05   4.05 
  4.45   4.45   4.45   4.45   4.45   4.45   4.45   4.45   4.45   4.45 
  5.44   5.44   5.44   5.44   5.44   5.44   5.44   5.44   5.44   5.44 
  5.04   5.04   5.04   5.04   5.04   5.04   5.04   5.04   5.04   5.04 
  3.66   3.66   3.66   3.66   3.66   3.66   3.66   3.66   3.66   3.66 
  2.37   2.37   2.37   2.37   2.37   2.37   2.37   2.37   2.37   2.37 
